asteroid_Id,relative velocity,close approach: Earth miss distance
2138893,17.1713267438,64.71671553724111
2386504,17.1073616275,31.780410670129964
3607823,22.4017287306,49.369182736271995
3636861,21.3341866669,26.46324392765735
3638335,8.6677101656,71.07072943882694
3829425,11.4459380794,33.852034972709646
3831475,15.6242633551,15.884428575915463
54196397,4.9970419191,43.15250208787186
54200468,16.3968608372,23.214702125269852
54201824,17.717946631,0.042385624346248
54202334,14.9151376933,2.229681887248823
54204646,1.431484125,35.35874247291115
54204656,6.6990842925,4.694689766046023
2264357,7.2655861504,58.33075620729973
2365424,18.8191021732,56.111399759515535
2503871,23.8621572082,65.57702456873432
2537342,18.0927915044,38.74480503445462
3014184,10.8166406798,4.065387072645154
3288934,4.5285167201,32.86605010205048
3386134,23.8648217876,52.59402078607756
3602702,21.375184255,19.678893517036155
3761267,16.5650219744,67.03258348007817
3799312,12.0817459072,65.52720307754122
3831202,10.9870442163,27.431009333568362
54076927,27.5099223666,65.13951983840133
54195890,9.654957856,1.930490455667479
54199807,9.0694555563,2.309188667217723
54201817,6.9499715115,18.227824591283127
54202344,12.7958971298,7.216745371387957
54202993,10.0384640277,39.96602199407916
54203033,13.3615040483,10.713770731824154
54204649,6.2277126622,0.381267899042595
54204650,11.5077731697,0.753028284974784
54204651,8.4681188169,1.5874223577695972
54204653,13.719563177,4.674848196633675
54206540,8.4671600079,2.8732297236649154
54206546,10.7189679326,4.3251107863346006
54215643,6.6589128873,6.346235889450503
54216377,7.4516579958,31.24557256900611
2162694,21.9362699285,54.23877642280615
2363027,13.9025172577,28.075549542414883
3729141,20.7275908032,4.113097678053413
3753621,13.9654664513,60.78958654677379
3774099,8.2202492339,38.52294955319082
3775206,15.9679083407,41.669435479227296
3837881,11.3726841132,47.17434344956827
3872646,11.1678141098,48.543012193029156
54017662,8.8269592797,16.137004937210133
54137802,14.1863413855,73.45185794151301
54144234,8.5051256899,63.071301011653894
54185580,1.0102583162,9.513357794468392
54200440,6.6188559724,2.2010319354117263
54201813,10.0999553333,12.802549990628645
54202995,17.8362195729,0.48769855566474496
54204648,21.6078928524,4.7497822334700714
54206543,6.6201407865,4.536785085359811
54208045,11.5633513552,2.340227323044045
54208623,12.767350365,7.389914689613656
54209295,9.3271281602,0.915568614697834
54209297,9.9078941766,6.639375802954395
54209298,11.0266953052,8.870841420406162
54210929,1.2811730526,46.321015731793935
54215212,4.15858126,34.2404947743927
3036044,20.3412758261,55.07689391178633
3732894,11.0014554397,70.53154236306455
3831166,16.0847362409,61.618687637490986
3869331,7.0151371424,7.786134446969141
54016461,6.1553183726,22.140449873776713
54016667,15.6179315277,38.80988891921917
54185140,5.9170441217,8.347821236856781
54193831,5.1474538837,25.528836243753396
54200293,4.15733971,42.18610087989716
54200438,12.3891107458,11.483725357558809
54206544,10.1284424204,3.211694216389713
54208624,12.2010737454,5.000266049678754
54209300,2.5270553639,31.890053716613558
54210295,4.6356841597,3.219052696258421
2533372,24.4163146261,24.73660110965242
3789115,23.549126077,38.54497912609
3799247,10.6665320875,29.041486039566216
3989315,31.6809901648,53.467475580799146
54145576,23.1225604497,72.25821237796224
54190789,8.0393985202,20.97989736368139
54203037,5.2785480949,6.384262650738987
54203013,4.147060281,2.71660561570569
54204654,17.032767777,43.014579523796854
54208039,15.416869922,3.781525817430143
2100004,27.009525564,60.74100351650727
2283460,3.1683121631,41.17246441374613
2308635,9.0479611684,36.92735014592745
3120889,10.1735256485,41.625668139034154
3350633,27.3670395112,67.95937515138021
3617387,17.3786914768,50.176809217308346
3662633,19.7060135699,57.113600440891226
3745996,19.5691276347,36.7410995860347
3759288,5.1984294137,15.121748550523806
3785769,11.7558987451,18.107207628488027
3827354,19.3625301728,58.861535389095174
3873144,2.3966859078,33.72560119593533
3873208,19.4378954381,74.28820531369642
54145460,4.2422456234,18.051548304814972
54200437,13.66183742,0.8747248955976761
54202336,11.0095057793,0.292837651007556
54202992,10.2516760991,0.161202012218243
54205437,12.0897207453,2.452350432936074
54205441,16.1365661642,8.803737021930038
54207047,9.8006004569,4.0284541111429615
2494710,13.9156882109,62.01639749435018
2519354,15.049115281,55.80352910831041
3070801,7.0067776891,34.09654206977588
3608823,7.7716017231,29.906590520541
54131529,5.996296268,31.468394811545
54194969,19.8167618871,53.0156497865319
54200306,8.8820688193,2.612467441722781
54201810,8.0577288288,2.636025097024865
54202330,5.1281646837,6.52667801284476
54207056,12.7112926501,2.758677997071945
54207058,6.8175141656,1.410036743256245
2408982,27.2092371851,51.332725360297054
3136727,4.9760710592,30.596240321509452
3154520,14.4225100391,51.70496798992298
3256323,4.8500926989,71.69923426694795
3429684,7.8626886855,22.39063328250265
3430490,12.3885076504,14.038381689766032
3648538,8.7656211388,12.508250798350762
3840693,18.2083865118,35.356487449578566
3842680,21.7134423222,66.59985497590044
3893382,8.7467770672,53.934615604299786
3991547,9.5079848162,29.698283998684797
54054609,16.8415206109,56.7681247896725
54143417,9.9364224891,61.077560531671054
54189957,9.9427478415,12.542258777419352
54193837,10.156302837,11.170473132417444
54196755,4.6033265859,34.37730268473833
54200005,4.2740794771,3.3135036152901187
54201811,14.2054221794,0.683825581894679
54202997,6.8428305804,6.042232851817627
54202342,15.3897867055,19.134966118607267
54202998,9.953599464,7.037808726158445
54203701,7.8843008599,0.752340374129376
54203700,10.2692980624,1.3117095040562552
54203710,5.4019777765,5.695834316379083
54203711,18.6985900586,21.618252972185307
54205440,7.9049739267,0.955246338079638
54206547,7.8868761027,46.497805393272564
54208621,13.0626998269,3.4949413125092263
54208628,6.6998158737,11.23092171222025
54215198,20.3264658754,37.61531963370049
2085770,16.418454716,49.15008218954296
2230111,14.5943018388,72.04036767543228
2474585,25.9032226766,68.92605292093717
3368864,19.5581630325,30.71851613020562
3612845,18.902877818,54.86027182776852
3781579,4.7591106071,44.5079413680961
3805271,20.1550182139,46.13532881179598
3839564,14.7938439929,32.173169555561934
54194324,8.7508637208,7.622821174971374
54195891,7.7513550972,29.248515638883454
54202343,5.3619633629,1.203016793001622
54202991,17.0710684342,0.374784028161055
54203031,3.3112610156,35.95166155810805
54203035,4.80332951,21.495893957153843
54203038,9.7134147214,4.968567353090205
