asteroid_Id,close approach date,is potentially hazardous asteroid
2138893,2021-10-01,False
2386504,2021-10-01,False
3607823,2021-10-01,False
3636861,2021-10-01,False
3638335,2021-10-01,False
3829425,2021-10-01,False
3831475,2021-10-01,False
54196397,2021-10-01,False
54200468,2021-10-01,False
54201824,2021-10-01,False
54202334,2021-10-01,False
54204646,2021-10-01,False
54204656,2021-10-01,False
2264357,2021-10-06,True
2365424,2021-10-06,True
2503871,2021-10-06,False
2537342,2021-10-06,False
3014184,2021-10-06,False
3288934,2021-10-06,False
3386134,2021-10-06,False
3602702,2021-10-06,False
3761267,2021-10-06,False
3799312,2021-10-06,False
3831202,2021-10-06,False
54076927,2021-10-06,False
54195890,2021-10-06,False
54199807,2021-10-06,False
54201817,2021-10-06,False
54202344,2021-10-06,False
54202993,2021-10-06,False
54203033,2021-10-06,False
54204649,2021-10-06,False
54204650,2021-10-06,False
54204651,2021-10-06,False
54204653,2021-10-06,False
54206540,2021-10-06,False
54206546,2021-10-06,False
54215643,2021-10-06,False
54216377,2021-10-06,False
2162694,2021-10-07,False
2363027,2021-10-07,True
3729141,2021-10-07,False
3753621,2021-10-07,True
3774099,2021-10-07,True
3775206,2021-10-07,False
3837881,2021-10-07,False
3872646,2021-10-07,False
54017662,2021-10-07,False
54137802,2021-10-07,False
54144234,2021-10-07,False
54185580,2021-10-07,False
54200440,2021-10-07,False
54201813,2021-10-07,False
54202995,2021-10-07,False
54204648,2021-10-07,False
54206543,2021-10-07,False
54208045,2021-10-07,False
54208623,2021-10-07,False
54209295,2021-10-07,False
54209297,2021-10-07,False
54209298,2021-10-07,False
54210929,2021-10-07,False
54215212,2021-10-07,False
3036044,2021-10-08,False
3732894,2021-10-08,False
3831166,2021-10-08,False
3869331,2021-10-08,False
54016461,2021-10-08,False
54016667,2021-10-08,False
54185140,2021-10-08,False
54193831,2021-10-08,False
54200293,2021-10-08,False
54200438,2021-10-08,False
54206544,2021-10-08,False
54208624,2021-10-08,False
54209300,2021-10-08,False
54210295,2021-10-08,False
2533372,2021-10-02,True
3789115,2021-10-02,False
3799247,2021-10-02,False
3989315,2021-10-02,False
54145576,2021-10-02,False
54190789,2021-10-02,False
54203037,2021-10-02,False
54203013,2021-10-02,False
54204654,2021-10-02,False
54208039,2021-10-02,False
2100004,2021-10-03,False
2283460,2021-10-03,False
2308635,2021-10-03,True
3120889,2021-10-03,False
3350633,2021-10-03,True
3617387,2021-10-03,True
3662633,2021-10-03,False
3745996,2021-10-03,False
3759288,2021-10-03,False
3785769,2021-10-03,False
3827354,2021-10-03,False
3873144,2021-10-03,False
3873208,2021-10-03,False
54145460,2021-10-03,False
54200437,2021-10-03,False
54202336,2021-10-03,False
54202992,2021-10-03,False
